id,date_submitted,category,priority,status,description,citizen_satisfaction,response_time_hours,ward_number,is_anonymous
1,2023-07-28,Parks & Recreation,Medium,Under Review,Sample feedback report #1 regarding city services,2,29.3,16,True
2,2023-02-07,Parks & Recreation,Low,Resolved,Sample feedback report #2 regarding city services,4,29.3,5,False
3,2023-03-16,Parks & Recreation,Medium,Resolved,Sample feedback report #3 regarding city services,5,86.6,9,False
4,2023-07-30,Environmental Issues,Low,In Progress,Sample feedback report #4 regarding city services,4,9.3,9,False
5,2023-12-20,Community Services,Medium,Resolved,Sample feedback report #5 regarding city services,4,2.3,2,False
6,2023-05-26,Water Infrastructure,Low,Closed,Sample feedback report #6 regarding city services,1,49.0,16,True
7,2023-02-25,Public Transport,High,Closed,Sample feedback report #7 regarding city services,3,90.1,15,True
8,2023-11-05,Road Maintenance,Low,Closed,Sample feedback report #8 regarding city services,4,9.1,6,False
9,2023-05-18,Public Transport,Medium,Under Review,Sample feedback report #9 regarding city services,4,8.4,17,True
10,2023-08-19,Water Infrastructure,Medium,Under Review,Sample feedback report #10 regarding city services,3,2.3,12,True
11,2023-04-07,Road Maintenance,Medium,Resolved,Sample feedback report #11 regarding city services,2,10.5,18,False
12,2023-06-28,Environmental Issues,Low,Closed,Sample feedback report #12 regarding city services,4,7.8,12,False
13,2023-04-21,Parks & Recreation,Low,In Progress,Sample feedback report #13 regarding city services,1,46.8,17,False
14,2023-05-03,Water Infrastructure,Critical,Resolved,Sample feedback report #14 regarding city services,1,21.9,2,True
15,2023-08-18,Road Maintenance,Low,Resolved,Sample feedback report #15 regarding city services,3,9.1,15,False
16,2023-09-23,Road Maintenance,High,Under Review,Sample feedback report #16 regarding city services,4,52.6,16,False
17,2023-11-25,Public Safety,Low,Under Review,Sample feedback report #17 regarding city services,5,33.6,7,False
18,2023-09-07,Public Safety,High,Under Review,Sample feedback report #18 regarding city services,4,40.8,8,True
19,2023-11-22,Community Services,Low,Submitted,Sample feedback report #19 regarding city services,3,18.7,17,False
20,2023-12-09,Public Transport,Low,Resolved,Sample feedback report #20 regarding city services,2,16.6,13,True
21,2023-11-23,Water Infrastructure,Low,In Progress,Sample feedback report #21 regarding city services,3,18.5,11,False
22,2023-10-24,Water Infrastructure,High,Resolved,Sample feedback report #22 regarding city services,1,3.6,2,False
23,2023-09-08,Water Infrastructure,Critical,Resolved,Sample feedback report #23 regarding city services,3,1.0,15,True
24,2023-09-14,Public Safety,Low,Resolved,Sample feedback report #24 regarding city services,3,16.7,19,False
25,2023-12-08,Traffic Management,Low,Under Review,Sample feedback report #25 regarding city services,5,53.6,11,True
26,2023-07-21,Public Transport,Low,In Progress,Sample feedback report #26 regarding city services,5,19.9,18,False
27,2023-09-24,Waste Management,High,Resolved,Sample feedback report #27 regarding city services,2,2.0,20,True
28,2023-08-14,Waste Management,High,Resolved,Sample feedback report #28 regarding city services,1,12.7,18,True
29,2023-05-01,Water Infrastructure,Low,Closed,Sample feedback report #29 regarding city services,1,1.0,8,False
30,2023-03-19,Waste Management,Critical,Resolved,Sample feedback report #30 regarding city services,1,27.1,10,True
31,2023-10-17,Waste Management,Low,Under Review,Sample feedback report #31 regarding city services,2,14.6,11,True
32,2023-09-05,Water Infrastructure,Low,Resolved,Sample feedback report #32 regarding city services,4,50.2,19,False
33,2023-04-22,Waste Management,High,In Progress,Sample feedback report #33 regarding city services,3,108.8,3,False
34,2023-06-09,Energy & Utilities,Medium,Resolved,Sample feedback report #34 regarding city services,2,41.8,2,False
